seed,window,A_islands,A_nodes_in_isl,A_c_nodes,B_islands,B_nodes_in_isl,B_c_nodes,boundary_links,boundary_weight,concept_entropy,total_c_nodes,r0_concept,r1_concept,r2_concept,r3_concept,global_k,div_flag
123,1,0,0,923,0,0,880,661,17.5363,1.5846,2684,A,B,A,B,0,0
123,2,0,0,283,0,0,235,669,17.2642,1.5805,767,A,B,A,B,0,0
123,3,0,0,46,0,0,29,728,21.3982,1.5577,109,A,B,A,B,0,1
123,4,0,0,18,0,0,11,659,17.5194,1.5495,41,A,B,A,B,1,1
123,5,0,0,14,0,0,8,677,18.6897,1.5462,32,A,B,A,B,1,1
123,6,0,0,5,0,0,6,643,17.7371,1.519,21,A,B,A,B,1,1
123,7,0,0,10,0,0,6,707,19.375,1.5546,24,A,B,neutral,B,0,1
123,8,0,0,11,0,0,7,720,19.7181,1.531,32,A,B,A,neutral,4,0
123,9,0,0,10,0,0,10,681,18.6081,1.5832,29,neutral,B,A,B,4,0
123,10,0,0,9,0,0,15,715,20.7506,1.5376,41,neutral,B,A,B,4,0
123,11,0,0,5,0,0,14,665,18.7108,1.427,25,A,B,A,B,4,0
123,12,0,0,13,0,0,11,703,19.1733,1.5816,36,A,B,A,B,4,0
123,13,0,0,14,0,0,14,632,17.7265,1.5813,40,A,B,A,B,1,1
123,14,0,0,14,0,0,10,701,21.024,1.5642,39,A,B,A,B,4,0
123,15,0,0,13,0,0,17,644,17.8344,1.5387,39,A,B,A,B,4,0
123,16,0,0,9,0,0,7,657,18.6875,1.5743,23,A,B,A,B,1,1
123,17,0,0,11,0,0,14,678,18.0466,1.4319,29,A,B,A,B,4,0
123,18,0,0,10,0,0,13,628,16.9127,1.5766,35,A,B,A,B,3,1
123,19,0,0,15,0,0,17,681,21.0239,1.5764,45,A,B,A,B,4,0
123,20,0,0,11,0,0,10,672,17.4788,1.581,33,A,B,neutral,B,4,0
123,21,0,0,10,0,0,6,647,18.3987,1.5546,24,A,B,A,B,4,0
123,22,0,0,7,0,0,8,652,18.9574,1.5579,26,A,B,A,B,4,0
123,23,0,0,12,0,0,10,687,19.6871,1.581,33,A,B,A,B,1,1
123,24,1,2,13,0,0,12,667,20.0735,1.5816,36,A,B,A,B,4,0
123,25,0,0,15,0,0,9,662,18.3412,1.5523,38,A,B,A,B,3,1
