window,alive_nodes,alive_links,n_clusters,n_encapsulated,n_candidates,mean_cluster_size,max_cluster_size,mean_density_ratio,max_density_ratio,encap_events_total,dissolve_events_total,mean_inner_entropy,max_inner_entropy,total_inner_triangles,motif_recurrence_count,pressure_events,nodes_shielded,hardened_links_count,mean_hardening,k_star,entropy,entropy_delta,milestone,physics_seconds
1,5000,3373,2,0,2,5.0,5,0.8,0.8,0,0,0,0,0,0,29,0,0,0.0,0,1.9985,1.9985,0,79.6
2,5000,3051,1,0,1,5.0,5,1.2,1.2,0,0,0,0,0,0,16,0,0,0.0,0,1.9981,-0.0004,0,117.8
3,5000,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,1,1.9966,-0.0014,0,136.1
4,5000,3126,1,0,1,3.0,3,0.67,0.67,0,0,0,0,0,0,24,0,0,0.0,0,1.992,-0.0046,0,161.9
5,5000,2971,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,0,1.9855,-0.0065,1,175.5
6,5000,3127,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0.0,3,1.9127,-0.0727,1,176.2
7,4998,3025,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0.0,3,1.8682,-0.0445,1,194.8
8,4997,3056,1,0,1,4.0,4,1.5,1.5,0,0,0,0,0,0,20,0,0,0.0,1,1.9772,0.109,1,193.5
9,4994,3011,1,0,1,5.0,5,0.2,0.2,0,0,0,0,0,0,24,0,0,0.0,1,1.9439,-0.0334,1,203.5
10,4990,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0.0,0,1.8221,-0.1217,2,208.9
11,4990,3052,1,0,1,5.0,5,0.4,0.4,0,0,0,0,0,0,22,0,0,0.0,0,1.9628,0.1406,1,216.6
12,4988,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0.0,0,1.9975,0.0347,1,209.7
13,4983,3090,1,0,1,5.0,5,1.28,1.28,0,0,0,0,0,0,26,0,0,0.0,1,1.944,-0.0535,1,199.6
14,4981,3015,2,0,2,3.5,4,0.67,0.67,0,0,0,0,0,0,20,0,0,0.0,1,1.9728,0.0287,1,176.6
15,4975,3195,1,0,1,4.0,4,0.9,0.9,0,0,0,0,0,0,20,0,0,0.0,3,1.9438,-0.029,2,189.8
16,4959,3024,1,0,1,3.0,3,0.27,0.27,0,0,0,0,0,0,28,0,0,0.0,1,1.9583,0.0146,2,182.4
17,4941,3045,1,0,1,3.0,3,0.44,0.44,0,0,0,0,0,0,23,0,0,0.0,1,1.9785,0.0201,2,186.7
18,4924,3000,2,0,2,4.0,5,0.97,1.5,0,0,0,0,0,0,26,0,0,0.0,1,1.9852,0.0067,2,184.9
19,4917,2979,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,1,1.9329,-0.0523,2,189.0
20,4901,3023,2,0,2,4.0,5,0.71,0.89,0,0,0,0,0,0,20,0,0,0.0,1,1.8323,-0.1007,1,178.8
21,4891,3041,1,0,1,5.0,5,0.2,0.2,0,0,0,0,0,0,26,0,0,0.0,1,1.8114,-0.0209,1,186.4
22,4883,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0.0,3,1.9486,0.1372,2,187.9
23,4874,2947,2,0,2,3.0,3,0.2,0.4,0,0,0,0,0,0,29,0,0,0.0,3,1.9664,0.0179,1,180.7
24,4871,2915,3,0,3,4.0,5,0.0,0.0,0,0,0,0,0,0,29,0,0,0.0,1,1.9316,-0.0349,1,183.1
25,4866,3014,1,0,1,3.0,3,0.89,0.89,0,0,0,0,0,0,31,0,0,0.0,1,1.8473,-0.0842,2,187.3
26,4858,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.0,1,1.948,0.1007,2,182.7
27,4854,2876,1,0,1,5.0,5,1.6,1.6,0,0,0,0,0,0,35,0,0,0.0,3,1.9687,0.0207,1,181.3
28,4849,2908,1,0,1,3.0,3,1.33,1.33,0,0,0,0,0,0,23,0,0,0.0,3,1.9574,-0.0112,1,181.7
29,4843,2962,1,0,1,4.0,4,0.33,0.33,0,0,0,0,0,0,26,0,0,0.0,3,1.945,-0.0124,2,180.8
30,4840,2989,1,0,1,4.0,4,0.5,0.5,0,0,0,0,0,0,24,0,0,0.0,3,1.8512,-0.0938,2,173.5
31,4837,2945,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.0,3,1.899,0.0478,2,183.9
32,4833,2974,1,0,1,3.0,3,1.0,1.0,0,0,0,0,0,0,22,0,0,0.0,3,1.8944,-0.0046,1,180.2
33,4824,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0.0,3,1.9132,0.0187,1,178.8
34,4811,2957,2,0,2,5.0,5,0.7,1.2,0,0,0,0,0,0,19,0,0,0.0,3,1.9,-0.0132,1,176.1
35,4802,2903,3,0,3,3.7,4,0.53,1.0,0,0,0,0,0,0,32,0,0,0.0,1,1.9641,0.0641,1,177.8
36,4800,2976,1,0,1,5.0,5,1.6,1.6,0,0,0,0,0,0,26,0,0,0.0,1,1.9569,-0.0072,2,175.4
37,4794,3024,1,0,1,5.0,5,0.6,0.6,0,0,0,0,0,0,15,0,0,0.0,3,1.9252,-0.0316,2,182.1
38,4790,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0.0,3,1.9687,0.0434,2,182.7
39,4780,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0.0,3,1.9313,-0.0374,1,185.1
40,4777,3059,5,0,5,4.2,5,0.67,1.6,0,0,0,0,0,0,24,0,0,0.0,3,1.9797,0.0484,1,176.5
41,4775,2932,2,0,2,5.0,5,0.93,1.14,0,0,0,0,0,0,28,0,0,0.0,3,1.9325,-0.0472,1,172.8
42,4771,2863,1,0,1,5.0,5,0.36,0.36,0,0,0,0,0,0,24,0,0,0.0,3,1.9672,0.0347,2,183.7
43,4753,2847,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.0,3,1.9142,-0.053,2,175.4
44,4732,2865,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0.0,3,1.9621,0.048,1,179.7
45,4723,2844,1,0,1,5.0,5,0.8,0.8,0,0,0,0,0,0,29,0,0,0.0,1,1.9936,0.0315,1,177.2
46,4719,2895,2,0,2,4.0,5,1.08,1.5,0,0,0,0,0,0,26,0,0,0.0,3,1.9692,-0.0244,1,184.1
47,4718,2894,3,0,3,4.0,5,0.94,1.14,0,0,0,0,0,0,24,0,0,0.0,1,1.9351,-0.0341,2,177.2
48,4713,2835,1,0,1,5.0,5,0.51,0.51,0,0,0,0,0,0,22,0,0,0.0,2,1.8705,-0.0646,2,178.6
49,4708,2860,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0.0,1,1.9077,0.0372,2,180.6
50,4702,2887,1,0,1,5.0,5,0.9,0.9,0,0,0,0,0,0,19,0,0,0.0,1,1.8962,-0.0115,1,173.3
